date,AAPL,AMZN,ASML,DXCM,INTC,MSFT,NVDA,NFLX,PEP,SGEN
2008/7/28,4.708273542,3.799,33.51911464,1.715,14.05201118,18.91521853,2.64700333,4.089999918,44.17416286,10.33
2008/7/29,4.789997461,3.9105,34.45808778,1.8025,14.41514576,19.36770023,2.674552368,4.434285626,44.352952,10.87
2008/7/30,4.87538066,3.9105,35.06907445,1.745,14.41514576,19.45671302,2.635524565,4.361428484,44.30659926,10.76
2008/7/31,4.84702124,3.817,33.96622285,1.68,14.38920757,19.07840865,2.626341552,4.412857055,44.07483555,11.36
2008/8/1,4.777189981,3.7875,33.45943901,1.715,14.49296031,18.87071213,2.488596366,4.174285631,44.12118829,11.81
2008/8/4,4.672595562,3.7855,33.83206743,1.67,14.60319759,18.75202841,2.428906785,4.261428486,44.8098576,11.37
2008/8/5,4.898556099,3.9555,35.87389218,1.8,15.02080473,19.44187756,2.568947725,4.269999915,45.37271232,11.62
2008/8/6,5.006809798,3.9045,36.06772323,1.575,14.87725229,20.04271391,2.637820318,4.2857142,45.38595596,11.9
2008/8/7,4.987903518,3.8475,36.03788541,1.695,15.44493692,20.31717002,2.596496762,4.351428484,44.99526857,11.58
2008/8/8,5.170257636,4.0255,35.73985152,1.815,15.81034312,20.86608225,2.525328416,4.435714197,45.9223234,12.31
2008/8/11,5.292538574,4.4045,36.49991252,1.685,15.90821978,20.69547439,2.578130737,4.599999908,45.86934884,12.32
2008/8/12,5.389204553,4.3625,37.00669636,1.6125,15.99957133,20.85866451,2.541398688,4.401428483,46.10111255,12.2
2008/8/13,5.467574132,4.3345,37.55812217,1.63,15.7385669,20.70289212,2.814593307,4.451428482,46.18057439,12.22
2008/8/14,5.468184012,4.4015,36.70854772,1.7375,15.89516956,20.70289212,2.984479037,4.548571338,46.3130108,12.34
2008/8/15,5.359015494,4.32,36.73838553,1.74,15.82991845,20.6287148,2.975296024,4.465714196,46.48517812,12.14
2008/8/18,5.348342594,4.1555,35.81433131,1.6475,15.66679068,20.539702,3.034985605,4.369999913,46.22692713,12
2008/8/19,5.291623754,4.0645,34.87535817,1.5625,15.39273604,20.34607168,3.080900667,4.301428485,46.41895992,11.83
2008/8/20,5.362064894,4.1065,34.47300669,1.4625,15.26223382,20.32372973,3.232420372,4.359999913,46.25341441,11.73
2008/8/21,5.314799194,4.163,35.23306769,1.5025,15.04038006,20.24180923,3.126815729,4.2857142,45.94881068,11.49
2008/8/22,5.391034193,4.263,35.143669,1.5925,15.32748493,20.73333219,3.124519976,4.378571341,46.28652352,11.39
2008/8/25,5.261739635,4.1425,34.77104057,1.5475,14.98817917,20.59928048,3.078604914,4.277142772,45.72366879,11.03
2008/8/26,5.294978094,4.088,35.3672231,1.6075,15.10563117,20.30883509,3.005140815,4.298571343,45.49190509,11.17
2008/8/27,5.326386914,4.0865,36.08264213,1.72,15.27528404,20.5248073,3.028098346,4.37714277,45.8229961,11.09
2008/8/28,5.298027494,4.171,36.52975034,1.7775,15.39273604,20.80780537,3.01661958,4.445714197,45.81637428,11.22
2008/8/29,5.169647756,4.0405,35.24798659,1.72,14.92292807,20.32372973,2.901831925,4.405714198,45.34622504,11.15
2008/9/2,5.067797797,4.0705,35.75465567,1.6075,14.73369986,20.18223069,2.828367826,4.405714198,45.99516342,11.15
2008/9/3,5.091278177,4.0385,34.41333105,1.6025,14.05508835,20.03328434,2.676848121,4.415714197,46.09843354,11.29
2008/9/4,4.916242619,3.9015,32.72921583,1.57,13.38952706,19.62368187,2.640116071,4.267142772,45.56542664,10.77
2008/9/5,4.884528859,3.9595,32.62489823,1.7175,13.44825306,19.10236964,2.679143874,4.237142772,45.91854371,10.83
2008/9/8,4.81561242,4.058,32.29702653,1.75,13.68315704,19.45239357,2.568947725,4.307142771,46.86463094,11.53
2008/9/9,4.625329863,3.952,31.22389798,1.7075,13.26554996,19.43749893,2.481709107,4.105714204,47.30436163,11.7
2008/9/10,4.623195283,3.837,31.46237099,1.61,13.15462308,19.69070773,2.48400486,4.107142775,47.85735628,11.87
2008/9/11,4.654909042,3.9755,31.31329667,1.5675,13.17419841,20.36096631,2.364625698,4.118571346,48.38370058,12.04
2008/9/12,4.541776304,3.915,29.88257336,1.605,13.15462308,20.56949121,2.339372414,4.207142773,48.73681765,12.16
2008/9/15,4.280137787,3.867,29.42054624,1.6425,12.63261423,19.9737058,2.135050388,4.015714205,48.20381076,11.92
2008/9/16,4.265500667,3.9365,30.68739108,1.685,12.71091556,19.35557844,2.201627228,4.065714204,48.62355369,12.79
2008/9/17,3.898047972,3.577,28.55605289,1.685,12.10408027,18.29805934,2.295753105,4.12285706,47.75741749,12.01
2008/9/18,4.088940409,3.825,29.83781663,1.8425,12.56736312,18.81192425,2.500075132,4.434285626,48.79011834,12.77
2008/9/19,4.296909487,4.05,31.38777645,1.7875,12.54778779,18.73745108,2.619454293,4.562857052,48.76346799,12.97
2008/9/22,3.99623865,3.7465,29.59934362,1.635,12.07145471,18.9161867,2.564356219,4.529999909,47.35766232,12.21
2008/9/23,3.867858912,3.588,28.34741769,1.5875,12.15628115,18.94597597,2.490892119,4.504285624,47.13779697,11.77
2008/9/24,3.924882691,3.498,27.97478927,1.655,12.20195692,19.15450086,2.582722243,4.538571338,46.70472888,11.18
2008/9/25,4.02307337,3.604,28.0344649,1.5825,12.11713049,19.81731213,2.633228812,4.709999906,47.50423921,11.43
2008/9/26,3.910550512,3.535,27.79599189,1.58,12.52821246,20.40565022,2.68373538,4.695714192,47.77740524,11.43
2008/9/29,3.2097984,3.1675,24.27857235,1.5025,11.2688661,18.62574131,2.318710636,4.514285624,46.41157509,10.99
2008/9/30,3.465947997,3.638,26.24591732,1.5475,12.22153226,19.87689067,2.458751576,4.411428483,47.48425145,10.7
2008/10/1,3.327505239,3.479,26.60362683,1.5275,12.08450493,19.720497,2.389878983,4.291428486,47.73076714,10.21
2008/10/2,3.052449362,3.368,25.33678199,1.48,11.22319033,19.5492087,2.141937647,4.185714202,47.24439835,9.71
2008/10/3,2.960052543,3.35,24.99399139,1.4425,11.29496654,19.60133992,2.073065054,4.138571346,45.9718444,8.78
